X-axis,Y-axis
54.819, 130.658
54.319, 130.655
53.819, 130.653
53.319, 130.650
52.819, 130.647
52.319, 130.644
51.819, 130.641
51.319, 130.639
50.819, 130.636
50.319, 130.633
49.819, 130.630
49.319, 130.627
48.819, 130.625
48.319, 130.622
47.819, 130.619
47.319, 130.616
46.819, 130.613
46.319, 130.611
45.819, 130.608
45.319, 130.605
44.819, 130.602
44.319, 130.600
43.819, 130.597
43.319, 130.594
42.819, 130.591
42.319, 130.588
41.819, 130.586
41.319, 130.583
40.819, 130.580
40.319, 130.577
39.819, 130.574
39.319, 130.572
38.819, 130.569
38.319, 130.566
37.819, 130.563
37.319, 130.560
36.819, 130.558
36.319, 130.555
35.819, 130.552
35.319, 130.549
34.819, 130.546
34.319, 130.544
33.819, 130.541
33.319, 130.538
32.819, 130.535
32.319, 130.532
31.819, 130.530
31.319, 130.527
30.819, 130.524
30.319, 130.521
29.819, 130.518
29.319, 130.516
28.819, 130.513
28.319, 130.510
27.819, 130.507
27.319, 130.504
26.819, 130.502
26.319, 130.499
25.819, 130.496
25.319, 130.493
24.819, 130.490
24.319, 130.488
23.819, 130.485
23.319, 130.482
22.819, 130.479
22.319, 130.476
21.819, 130.474
21.319, 130.471
20.819, 130.468
20.319, 130.465
19.389, 130.460
18.889, 130.457
18.389, 130.454
17.890, 130.452
17.395, 130.449
16.901, 130.445
16.406, 130.441
15.911, 130.436
15.416, 130.431
14.922, 130.426
14.427, 130.420
13.932, 130.413
13.438, 130.406
12.943, 130.399
12.448, 130.391
11.954, 130.382
11.459, 130.373
10.964, 130.364
10.469, 130.354
9.969, 130.343
9.469, 130.333
8.969, 130.323
8.467, 130.312
7.962, 130.303
7.457, 130.293
6.951, 130.284
6.446, 130.276
5.941, 130.268
5.436, 130.260
4.931, 130.254
4.425, 130.247
3.920, 130.241
3.415, 130.236
2.910, 130.231
2.404, 130.227
1.899, 130.223
1.394, 130.220
0.894, 130.216
0.394, 130.213
-0.148, 130.210
-0.648, 130.207
-1.148, 130.204
-1.648, 130.201
-2.148, 130.198
-2.648, 130.195
-3.148, 130.192
-3.648, 130.189
-4.148, 130.186
-4.648, 130.182
-5.148, 130.179
-5.648, 130.176
-6.148, 130.173
-6.648, 130.170
-7.148, 130.167
-7.648, 130.164
-8.148, 130.161
-8.648, 130.158
-9.148, 130.155
-9.648, 130.152
-10.148, 130.149
-10.648, 130.146
-11.148, 130.142
-11.648, 130.139
-12.148, 130.136
-12.647, 130.133
-13.147, 130.130
-13.647, 130.127
-14.147, 130.124
-14.647, 130.121
-15.147, 130.118
-15.647, 130.115
-16.147, 130.112
-16.647, 130.109
-17.147, 130.106
-17.647, 130.103
-18.147, 130.099
-18.647, 130.096
