X-axis,Y-axis
-181.3353217,80.53986287
-181.3386544,79.53878062
-181.3418847,78.53502434
-181.3450131,77.52862721
-181.3480401,76.51962239
-181.3509661,75.50804307
-181.3537915,74.49392243
-181.3565169,73.47729362
-181.3591427,72.45818984
-181.3616693,71.43664425
-181.3640972,70.41269003
-181.366427,69.38636035
-181.3686589,68.35768839
-181.3707936,67.32670732
-181.3728314,66.29345032
-181.3747729,65.25795056
-181.3766185,64.22024122
-181.3783686,63.18035547
-181.3800237,62.13832649
-181.3815843,61.09418745
-181.3830508,60.04797152
-181.3844237,58.99971188
-181.3857035,57.94944171
-181.3868906,56.89719418
-181.3879855,55.84300246
-181.3889886,54.78689974
-181.3899004,53.72891917
-181.3907214,52.66909395
-181.3914521,51.60745724
-181.3920928,50.54404221
-181.392644,49.47888205
-181.3931063,48.41200993
-181.3934801,47.34345902
-181.3937658,46.27326249
-181.3939639,45.20145353
-181.3940749,44.1280653
-181.3940992,43.05313098
-181.3940373,41.97668375
-181.3938896,40.89875678
-181.3936566,39.81938325
-181.3933388,38.73859632
-181.3929366,37.65642918
-181.3924506,36.572915
-181.3918811,35.48808695
-181.3912286,34.40197821
-181.3904936,33.31462196
-181.3896765,32.22605136
-181.3887778,31.13629959
-181.387798,30.04539984
-181.3867375,28.95338526
-181.3855968,27.86028904
-181.3843764,26.76614435
-181.3830767,25.67098437
-181.3816981,24.57484227
-181.3802412,23.47775123
-181.3787063,22.37974441
-181.3770941,21.280855
-181.3754048,20.18111617
-181.3738027,19.18064441
-181.3721378,18.179523
-181.3704102,17.17777685
-181.3686205,16.17543089
-181.366769,15.17251004
-181.3648559,14.16903924
-181.3628816,13.1650434
-181.3608466,12.16054745
-181.3587511,11.15557632
-181.3565955,10.15015492
-181.3543801,9.144308187
-181.3521053,8.138061041
-181.3497714,7.131438408
-181.3473788,6.124465213
-181.3449278,5.117166379
-181.3424188,4.109566832
-181.3398521,3.101691496
-181.337228,2.093565295
-181.334547,1.085213156
-181.3318093,0.076660001
-181.3290153,-0.932069244
-181.3261654,-1.940949654
-181.3232598,-2.949956306
-181.320299,-3.959064273
-181.3172833,-4.968248633
-181.314213,-5.977484459
-181.3110885,-6.986746828
-181.3079101,-7.996010814
-181.3046783,-9.005251494
-181.3013932,-10.01444394
-181.2980553,-11.02356323
-181.2946649,-12.03258444
-181.2912224,-13.04148265
-181.2877281,-14.05023292
-181.2841823,-15.05881034
-181.2805855,-16.06718999
-181.2769379,-17.07534692
-181.2732399,-18.08325623
-181.2694918,-19.09089299
-181.2656941,-20.09823226
-181.261847,-21.10524914
-181.2579508,-22.11191868
-181.254006,-23.11821598
-181.2500129,-24.1241161
-181.2459718,-25.12959411
-181.2418831,-26.1346251
-181.2377471,-27.13918414
-181.2335642,-28.14324631
-181.2293346,-29.14678667
-181.2250589,-30.14978031
-181.2207372,-31.15220231
-181.2163701,-32.15402772
-181.2119577,-33.15523164
-181.2075004,-34.15578914
-181.2025461,-35.25562602
-181.1975383,-36.35461739
-181.1924777,-37.45273009
-181.1873645,-38.54993093
-181.1821994,-39.64618674
-181.1769827,-40.74146434
-181.171715,-41.83573057
-181.1663966,-42.92895224
-181.1610281,-44.02109619
-181.1556099,-45.11212923
-181.1501424,-46.20201819
-181.1446262,-47.29072991
-181.1390617,-48.37823119
-181.1334493,-49.46448887
-181.1277895,-50.54946978
-181.1220829,-51.63314073
-181.1163297,-52.71546856
-181.1105306,-53.79642009
-181.1046859,-54.87596214
-181.0987961,-55.95406154
-181.0928618,-57.03068512
-181.0868832,-58.1057997
-181.080861,-59.1793721
-181.0747956,-60.25136916
-181.0686874,-61.32175769
-181.0625368,-62.39050452
-181.0563445,-63.45757648
-181.0501107,-64.52294039
-181.0438361,-65.58656308
-181.0375209,-66.64841138
-181.0311658,-67.7084521
-181.0247712,-68.76665207
-181.0183374,-69.82297813
-181.0118651,-70.87739708
-181.0053546,-71.92987577
-180.9988064,-72.98038101
-180.992221,-74.02887963
-180.9855989,-75.07533846
-180.9789404,-76.11972432
-180.9722461,-77.16200403
-180.9655164,-78.20214442
-180.9587518,-79.24011232
-180.9519527,-80.27587456
-180.9451196,-81.30939794
-180.938253,-82.34064932
-180.9313534,-83.3695955
-180.9244211,-84.39620331
-180.9174567,-85.42043958
-180.9104606,-86.44227113
-180.9034333,-87.46166479
-180.8963752,-88.47858739
-180.8892868,-89.49300575
-180.8821686,-90.50488669
-180.875021,-91.51419704
-180.8678444,-92.52090363
-180.8606395,-93.52497327
-180.8534065,-94.5263728
-180.8454846,-95.61572442
-180.8375306,-96.70181583
-180.829545,-97.78460397
-180.8215284,-98.86404575
-180.8134815,-99.94009813
-180.8054048,-101.012718
-180.7972989,-102.0818623
-180.7891645,-103.147488
-180.781002,-104.2095521
-180.7728123,-105.2680113
-180.7645957,-106.3228227
-180.756353,-107.3739432
-180.7480848,-108.4213297
-180.7397915,-109.4649392
-180.7314739,-110.5047286
-180.7231325,-111.5406548
-180.714768,-112.5726747
-180.7063809,-113.6007453
-180.6979718,-114.6248235
-180.6895413,-115.6448663
-180.6810901,-116.6608305
-180.6726187,-117.6726731
-180.6641277,-118.6803511
-180.6556177,-119.6838213
-180.6463779,-120.7661157
-180.6371172,-121.8433666
-180.6278366,-122.9155192
-180.6185366,-123.9825187
-180.6092181,-125.0443103
-180.5998819,-126.1008394
-180.5905287,-127.1520511
-180.5811592,-128.1978907
-180.5717743,-129.2383034
-180.5623747,-130.2732344
-180.5529611,-131.3026291
-180.5435344,-132.3264326
-180.5340952,-133.3445902
-180.5246444,-134.3570472
-180.5151827,-135.3637487
-180.5057109,-136.36464
-180.4955,-137.4359623
-180.4852791,-138.5004143
-180.4750494,-139.5579276
-180.4648116,-140.6084337
-180.4545667,-141.6518643
-180.4443158,-142.688151
-180.4340597,-143.7172254
-180.4237993,-144.739019
-180.4135358,-145.7534636
-180.4032699,-146.7604906
-180.3922693,-147.8311393
-180.3812683,-148.8931104
-180.3702681,-149.9463198
-180.3592699,-150.9906833
-180.3482748,-152.0261168
-180.3372841,-153.0525363
-180.3262988,-154.0698575
-180.3153201,-155.0779963
-180.3036182,-156.1431287
-180.2919266,-157.1976158
-180.2802468,-158.2413556
-180.2685801,-159.2742459
-180.256928,-160.2961847
-180.2452919,-161.3070699
-180.2329477,-162.3689096
-180.2206248,-163.4180332
-180.208325,-164.4543181
-180.19605,-165.4776419
-180.1838015,-166.4878821
-180.1708633,-167.5431514
-180.1579587,-168.58347
-180.1450897,-169.6086926
-180.1322585,-170.6186736
-180.1187574,-171.668069
-180.105303,-172.7001494
-180.0918976,-173.714744
-180.0778422,-174.7636598
-180.0638465,-175.7928119
-180.0499133,-176.8020008
-180.0353536,-177.8399456
-180.0208692,-178.8554303
-180.005779,-179.8949302
-179.9907786,-180.9092614
-179.9751963,-181.9424996
-179.9597203,-182.9476356
-179.9436892,-183.9661838
-179.9271234,-184.9939109
-179.9100448,-186.0263312
-179.8924775,-187.0586966
